City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
New Norfolk,0,AU,1570061775,34,-42.78,147.06,75.0,9.17
Ushuaia,40,AR,1570061777,65,-54.81,-68.31,41.0,29.97
Hermanus,28,ZA,1570061779,83,-34.42,19.24,57.99,8.86
Kralendijk,15,BQ,1570061781,74,12.15,-68.27,84.2,17.22
Tura,100,RU,1570061783,98,64.27,100.22,33.0,6.64
Mataura,97,NZ,1570061786,81,-46.19,168.86,48.99,8.99
Kodiak,90,US,1570061773,94,39.95,-94.76,69.8,10.29
Bandarbeyla,33,SO,1570061790,82,9.49,50.81,75.52,3.69
Abu Dhabi,46,AE,1570061769,74,24.47,54.37,84.2,2.24
Jamestown,6,AU,1570061723,41,-33.21,138.6,67.42,5.32
Chokurdakh,97,RU,1570061900,90,70.62,147.9,26.23,13.13
Mareeba,40,AU,1570062050,65,-16.99,145.42,78.8,20.8
Igunga,22,TZ,1570062052,55,-4.28,33.88,71.32,9.37
Port Alfred,100,ZA,1570062054,93,-33.59,26.89,59.0,1.99
Punta Arenas,0,CL,1570062056,75,-53.16,-70.91,42.8,18.34
Nome,1,US,1570062059,74,30.04,-94.42,86.0,3.36
Hobart,0,AU,1570061998,26,-42.88,147.33,75.0,10.29
La Ronge,20,CA,1570062063,56,55.1,-105.3,44.6,10.29
Jalu,0,LY,1570062067,29,29.03,21.55,75.98,10.18
Baykit,100,RU,1570062069,99,61.68,96.39,35.09,4.72
Provideniya,75,RU,1570061995,93,64.42,-173.23,39.2,17.9
Atuona,61,PF,1570062078,73,-9.8,-139.03,78.88,5.64
Vaini,40,IN,1570062080,100,15.34,74.49,69.8,1.39
Sovetskaya Gavan,100,RU,1570062083,91,48.97,140.29,40.7,8.37
Guerrero Negro,0,MX,1570062085,54,27.97,-114.04,71.59,16.03
Carnarvon,4,ZA,1570061922,32,-30.97,22.13,51.79,2.82
Amalapuram,100,IN,1570061937,90,16.58,82.0,76.2,4.34
Lubango,0,AO,1570062091,83,-14.92,13.49,58.38,2.39
Kruisfontein,100,ZA,1570062093,62,-34.0,24.73,61.21,15.48
